,Number,Artist,Song,Year
1697,1698,Desiigner,Tiimmy Turner,2016
1698,1699,Wiz Khalifa feat. Charlie Puth,See You Again,2016
1699,1700,One Direction,Perfect,2016
1700,1701,Ed Sheeran,Shape Of You,2017
1701,1702,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2017
1702,1703,Bruno Mars,That’s What I Like,2017
1703,1704,Kendrick Lamar,Humble.,2017
1704,1705,The Chainsmokers & Coldplay,Something Just Like This,2017
1705,1706,Migos Featuring Lil Uzi Vert,Bad And Boujee,2017
1706,1707,The Chainsmokers Featuring Halsey,Closer,2017
1707,1708,Sam Hunt,Body Like A Back Road,2017
1708,1709,Imagine Dragons,Believer,2017
1709,1710,Post Malone Featuring Quavo,Congratulations,2017
1710,1711,James Arthur,Say You Won’t Let Go,2017
1711,1712,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I’m The One,2017
1712,1713,Lil Uzi Vert,XO TOUR Llif3,2017
1713,1714,Future,Mask Off,2017
1714,1715,French Montana Featuring Swae Lee,Unforgettable,2017
1715,1716,Bruno Mars,24K Magic,2017
1716,1717,Zedd & Alessia Cara,Stay,2017
1717,1718,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2017
1718,1719,Rae Sremmurd Featuring Gucci Mane,Black Beatles,2017
1719,1720,The Weeknd Featuring Daft Punk,Starboy,2017
1720,1721,Khalid,Location,2017
1721,1722,Charlie Puth,Attention,2017
1722,1723,Shawn Mendes,There’s Nothing Holdin’ Me Back,2017
1723,1724,Cardi B,Bodak Yellow (Money Moves),2017
1724,1725,Childish Gambino,Redbone,2017
1725,1726,Zayn / Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),2017
1726,1727,Kygo x Selena Gomez,It Ain’t Me,2017
1727,1728,KYLE Featuring Lil Yachty,iSpy,2017
1728,1729,Julia Michaels,Issues,2017
1729,1730,Alessia Cara,Scars To Your Beautiful,2017
1730,1731,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,2017
1731,1732,Niall Horan,Slow Hands,2017
1732,1733,Rihanna,Love On The Brain,2017
1733,1734,The Weeknd Featuring Daft Punk,I Feel It Coming,2017
1734,1735,Big Sean,Bounce Back,2017
1735,1736,Liam Payne Featuring Quavo,Strip That Down,2017
1736,1737,Drake,Fake Love,2017
1737,1738,Maroon 5 Featuring Kendrick Lamar,Don’t Wanna Know,2017
1738,1739,Taylor Swift,Look What You Made Me Do,2017
1739,1740,Ed Sheeran,Castle On The Hill,2017
1740,1741,Machine Gun Kelly x Camila Cabello,Bad Things,2017
1741,1742,The Chainsmokers,Paris,2017
1742,1743,Ariana Grande Featuring Nicki Minaj,Side To Side,2017
1743,1744,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,2017
1744,1745,Portugal. The Man,Feel It Still,2017
1745,1746,DJ Snake Featuring Justin Bieber,Let Me Love You,2017
1746,1747,Demi Lovato,Sorry Not Sorry,2017
1747,1748,21 Savage,Bank Account,2017
1748,1749,Justin Timberlake,Can’t Stop The Feeling!,2017
1749,1750,J Balvin & Willy William Featuring Beyonce,Mi Gente,2017
1750,1751,Imagine Dragons,Thunder,2017
1751,1752,Migos,T-Shirt,2017
1752,1753,Yo Gotti Featuring Nicki Minaj,Rake It Up,2017
1753,1754,Shawn Mendes,Mercy,2017
1754,1755,Kodak Black,Tunnel Vision,2017
1755,1756,Post Malone Featuring 21 Savage,Rockstar,2017
1756,1757,Brett Young,In Case You Didn’t Know,2017
1757,1758,twenty one pilots,Heathens,2017
1758,1759,Halsey,Now Or Never,2017
1759,1760,Amine,Caroline,2017
1760,1761,Ayo & Teo,Rolex,2017
1761,1762,Kendrick Lamar,DNA.,2017
1762,1763,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),2017
1763,1764,Rae Sremmurd,Swang,2017
1764,1765,Drake,Passionfruit,2017
1765,1766,Kendrick Lamar Featuring Rihanna,Loyalty.,2017
1766,1767,Kesha,Praying,2017
1767,1768,Travis Scott,Goosebumps,2017
1768,1769,Maroon 5 Featuring Future,Cold,2017
1769,1770,D.R.A.M. Featuring Lil Yachty,Broccoli,2017
1770,1771,Calvin Harris Featuring Frank Ocean & Migos,Slide,2017
1771,1772,Kane Brown Featuring Lauren Alaina,What Ifs,2017
1772,1773,Katy Perry Featuring Skip Marley,Chained To The Rhythm,2017
1773,1774,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,2017
1774,1775,Jon Bellion,All Time Low,2017
1775,1776,Luke Combs,Hurricane,2017
1776,1777,Sam Smith,Too Good At Goodbyes,2017
1777,1778,Khalid,Young Dumb & Broke,2017
1778,1779,Playboi Carti,Magnolia,2017
1779,1780,SZA Featuring Travis Scott,Love Galore,2017
1780,1781,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,2017
1781,1782,Hailee Steinfeld & Grey Featuring Zedd,Starving,2017
1782,1783,Gucci Mane Featuring Drake,Both,2017
1783,1784,P!nk,What About Us,2017
1784,1785,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,2017
1785,1786,Migos Featuring Gucci Mane,Slippery,2017
1786,1787,Harry Styles,Sign Of The Times,2017
1787,1788,Adele,Water Under The Bridge,2017
1788,1789,Miley Cyrus,Malibu,2017
1789,1790,Marian Hill,Down,2017
1790,1791,Cheat Codes Featuring Demi Lovato,No Promises,2017
1791,1792,Shawn Mendes,Treat You Better,2017
1792,1793,Gucci Mane Featuring Migos,I Get The Bag,2017
1793,1794,Dustin Lynch,Small Town Boy,2017
1794,1795,YFN Lucci Featuring PnB Rock,Everyday We Lit,2017
1795,1796,Camila Cabello Featuring Young Thug,Havana,2017
1796,1797,Maroon 5 Featuring SZA,What Lovers Do,2017
1797,1798,Blackbear,Do Re Mi,2017
1798,1799,XXXTentacion,Look At Me!,2017
1799,1800,Keith Urban Featuring Carrie Underwood,The Fighter,2017
1800,1801,Drake,God’s Plan,2018
1801,1802,Ed Sheeran,Perfect,2018
1802,1803,Bebe Rexha & Florida Georgia Line,Meant To Be,2018
1803,1804,Camila Cabello Featuring Young Thug,Havana,2018
1804,1805,Post Malone Featuring 21 Savage,Rockstar,2018
1805,1806,Post Malone Featuring Ty Dolla $ign,Psycho,2018
1806,1807,"Cardi B, Bad Bunny & J Balvin",I Like It,2018
1807,1808,"Zedd, Maren Morris & Grey",The Middle,2018
1808,1809,Drake,In My Feelings,2018
1809,1810,Maroon 5 Featuring Cardi B,Girls Like You,2018
1810,1811,Drake,Nice For What,2018
1811,1812,Juice WRLD,Lucid Dreams,2018
1812,1813,Post Malone,Better Now,2018
1813,1814,Bruno Mars & Cardi B,Finesse,2018
1814,1815,Ella Mai,Boo’d Up,2018
1815,1816,Dua Lipa,New Rules,2018
1816,1817,XXXTENTACION,Sad!,2018
1817,1818,Camila Cabello,Never Be The Same,2018
1818,1819,Khalid & Normani,Love Lies,2018
1819,1820,Ariana Grande,No Tears Left To Cry,2018
1820,1821,Bazzi,Mine,2018
1821,1822,Imagine Dragons,Thunder,2018
1822,1823,BlocBoy JB Featuring Drake,Look Alive,2018
1823,1824,Taylor Swift,Delicate,2018
1824,1825,Lil Baby & Drake,Yes Indeed,2018
1825,1826,Marshmello & Anne-Marie,Friends,2018
1826,1827,Halsey,Bad At Love,2018
1827,1828,Tyga Featuring Offset,Taste,2018
1828,1829,NF,Let You Down,2018
1829,1830,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2018
1830,1831,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,2018
1831,1832,Dan + Shay,Tequila,2018
1832,1833,Portugal. The Man,Feel It Still,2018
1833,1834,"Migos, Nicki Minaj & Cardi B",MotorSport,2018
1834,1835,Lauv,I Like Me Better,2018
1835,1836,5 Seconds Of Summer,Youngblood,2018
1836,1837,Imagine Dragons,Whatever It Takes,2018
1837,1838,Offset & Metro Boomin,Ric Flair Drip,2018
1838,1839,Post Malone,I Fall Apart,2018
1839,1840,The Weeknd & Kendrick Lamar,Pray For Me,2018
1840,1841,Selena Gomez,Back To You,2018
1841,1842,Travis Scott,Sicko Mode,2018
1842,1843,Migos Featuring Drake,Walk It Talk It,2018
1843,1844,Lil Pump,Gucci Gang,2018
1844,1845,G-Eazy & Halsey,Him & I,2018
1845,1846,Shawn Mendes,In My Blood,2018
1846,1847,Kendrick Lamar & SZA,All The Stars,2018
1847,1848,Migos,Stir Fry,2018
1848,1849,Sam Smith,Too Good At Goodbyes,2018
1849,1850,Kendrick Lamar Featuring Zacari,Love.,2018
1850,1851,Childish Gambino,This Is America,2018
1851,1852,Drake,Nonstop,2018
1852,1853,Kane Brown,Heaven,2018
1853,1854,Cardi B,Bodak Yellow (Money Moves),2018
1854,1855,Lil Dicky Featuring Chris Brown,Freaky Friday,2018
1855,1856,6ix9ine,Gummo,2018
1856,1857,Rich The Kid,Plug Walk,2018
1857,1858,Maroon 5,Wait,2018
1858,1859,Cardi B,Be Careful,2018
1859,1860,Selena Gomez X Marshmello,Wolves,2018
1860,1861,Cardi B Featuring 21 Savage,Bartier Cardi,2018
1861,1862,Ariana Grande,God Is A Woman,2018
1862,1863,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2018
1863,1864,Demi Lovato,Sorry Not Sorry,2018
1864,1865,Charlie Puth,How Long,2018
1865,1866,MAX Featuring gnash,Lights Down Low,2018
1866,1867,Khalid,Young Dumb & Broke,2018
1867,1868,Calvin Harris & Dua Lipa,One Kiss,2018
1868,1869,Imagine Dragons,Natural,2018
1869,1870,Jason Aldean,You Make It Easy,2018
1870,1871,Ed Sheeran,Shape Of You,2018
1871,1872,Gucci Mane Featuring Migos,I Get The Bag,2018
1872,1873,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,2018
1873,1874,A$AP Ferg Featuring Nicki Minaj,Plain Jane,2018
1874,1875,Miguel Featuring Travis Scott,Sky Walker,2018
1875,1876,Thomas Rhett,Marry Me,2018
1876,1877,"Benny Blanco, Halsey & Khalid",Eastside,2018
1877,1878,The Weeknd,Call Out My Name,2018
1878,1879,"Jay Rock, Kendrick Lamar, Future & James Blake",King’s Dead,2018
1879,1880,Marshmello & Bastille,Happier,2018
1880,1881,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,2018
1881,1882,Florida Georgia Line,Simple,2018
1882,1883,N*E*R*D & Rihanna,Lemon,2018
1883,1884,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,2018
1884,1885,Justin Timberlake Featuring Chris Stapleton,Say Something,2018
1885,1886,Drake,I’m Upset,2018
1886,1887,Kenny Chesney,Get Along,2018
1887,1888,XXXTENTACION,Moonlight,2018
1888,1889,Maroon 5 Featuring SZA,What Lovers Do,2018
1889,1890,Nicky Jam x J Balvin,X,2018
1890,1891,YoungBoy Never Broke Again,Outside Today,2018
1891,1892,Ella Mai,Trip,2018
1892,1893,Daddy Yankee,Dura,2018
1893,1894,XXXTENTACION,Changes,2018
1894,1895,Brett Young,Mercy,2018
1895,1896,Luke Combs,One Number Away,2018
1896,1897,Rae Sremmurd & Juicy J,Powerglide,2018
1897,1898,Dua Lipa,IDGAF,2018
1898,1899,J Balvin & Willy William Featuring Beyonce,Mi Gente,2018
1899,1900,Imagine Dragons,Believer,2018
1900,1901,Lil Nas X Featuring Billy Ray Cyrus, Old Town Road,2019
1901,1902,Post Malone & Swae Lee, Sunflower (Spider-Man: Into The Spider-Verse),2019
1902,1903,Halsey, Without Me,2019
1903,1904,Billie Eilish, Bad Guy,2019
1904,1905,Post Malone, Wow.,2019
1905,1906,Marshmello & Bastille, Happier,2019
1906,1907,Ariana Grande, 7 Rings,2019
1907,1908,Khalid, Talk,2019
1908,1909,Travis Scott, Sicko Mode,2019
1909,1910,Jonas Brothers, Sucker,2019
1910,1911,Panic! At The Disco, High Hopes,2019
1911,1912,Ariana Grande," Thank U, Next",2019
1912,1913,Lizzo, Truth Hurts,2019
1913,1914,Sam Smith & Normani, Dancing With A Stranger,2019
1914,1915,16 , SenoritaShawn Mendes & Camila Cabello,2019
1915,1916,Ed Sheeran & Justin Bieber, I Don’t Care,2019
1916,1917,"benny blanco, Halsey & Khalid", Eastside,2019
1917,1918,Meek Mill Featuring Drake, Going Bad,2019
1918,1919,Lady Gaga & Bradley Cooper, Shallow,2019
1919,1920,Khalid, Better,2019
1920,1921,Chris Brown Featuring Drake, No Guidance,2019
1921,1922,Maroon 5 Featuring Cardi B, Girls Like You,2019
1922,1923,Ava Max, Sweet But Psycho,2019
1923,1924,DaBaby, Suge,2019
1924,1925,J. Cole, Middle Child,2019
1925,1926,Lil Baby & Gunna, Drip Too Hard,2019
1926,1927,Lewis Capaldi, Someone You Loved,2019
1927,1928,Lil Tecca, Ran$om,2019
1928,1929,Shawn Mendes, If I Can’t Have You,2019
1929,1930,Post Malone Featuring Young Thug, Goodbyes,2019
1930,1931,Kodak Black Featuring Travis Scott & Offset, ZEZE,2019
1931,1932,Post Malone, Better Now,2019
1932,1933,5 Seconds Of Summer, Youngblood,2019
1933,1934,Drake Featuring Rick Ross, Money In The Grave,2019
1934,1935,Dan + Shay, Speechless,2019
1935,1936,Ariana Grande," Break Up With Your Girlfriend, I’m Bored",2019
1936,1937,Cardi B & Bruno Mars, Please Me,2019
1937,1938,Cardi B, Money,2019
1938,1939,Taylor Swift, You Need To Calm Down,2019
1939,1940,Lil Nas X, Panini,2019
1940,1941,A Boogie Wit da Hoodie, Look Back At It,2019
1941,1942,21 Savage, A Lot,2019
1942,1943,Taylor Swift Featuring Brendon Urie, ME!,2019
1943,1944,Bad Bunny Featuring Drake, MIA,2019
1944,1945,Polo G Featuring Lil Tjay, Pop Out,2019
1945,1946,Luke Combs, Beautiful Crazy,2019
1946,1947,Blueface, Thotiana,2019
1947,1948,Juice WRLD, Lucid Dreams,2019
1948,1949,Sheck Wes, Mo Bamba,2019
1949,1950,Ed Sheeran Featuring Khalid, Beautiful People,2019
1950,1951,Gucci Mane X Bruno Mars X Kodak Black, Wake Up In The Sky,2019
1951,1952,53 , Whiskey GlassesMorgan Wallen,2019
1952,1953,Blake Shelton, God’s Country,2019
1953,1954,Dean Lewis, Be Alright,2019
1954,1955,Mustard & Migos, Pure Water,2019
1955,1956,Blanco Brown, The Git Up,2019
1956,1957,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B", Taki Taki,2019
1957,1958,Ellie Goulding X Diplo Featuring Swae Lee, Close To Me,2019
1958,1959,Calboy, Envy Me,2019
1959,1960,Lauren Daigle, You Say,2019
1960,1961,Panic! At The Disco," Hey Look Ma, I Made It",2019
1961,1962,Post Malone, Circles,2019
1962,1963,Luke Combs, Beer Never Broke My Heart,2019
1963,1964,"Young Thug, J. Cole & Travis Scott", The London,2019
1964,1965,Daddy Yankee & Katy Perry Featuring Snow, Con Calma,2019
1965,1966,Billie Eilish, When The Party’s Over,2019
1966,1967,City Girls, Act Up,2019
1967,1968,"Cardi B, Bad Bunny & J Balvin", I Like It,2019
1968,1969,SHAED, Trampoline,2019
1969,1970,Flipp Dinero, Leave Me Alone,2019
1970,1971,Ariana Grande, Breathin,2019
1971,1972,Billie Eilish, Bury A Friend,2019
1972,1973,Lil Baby, Close Friends,2019
1973,1974,Pinkfong, Baby Shark,2019
1974,1975,Saweetie, My Type,2019
1975,1976,YK Osiris, Worth It,2019
1976,1977,Jonas Brothers, Only Human,2019
1977,1978,Luke Bryan, Knockin’ Boots,2019
1978,1979,Ella Mai, Trip,2019
1979,1980,Lee Brice, Rumor,2019
1980,1981,A Boogie Wit da Hoodie Featuring 6ix9ine, Swervin,2019
1981,1982,Sam Smith, How Do You Sleep?,2019
1982,1983,Lil Baby & DaBaby, Baby,2019
1983,1984,Thomas Rhett, Look What God Gave Her,2019
1984,1985,Kane Brown, Good As You,2019
1985,1986,Offset Featuring Cardi B, Clout,2019
1986,1987,Khalid & Normani, Love Lies,2019
1987,1988,Marshmello & Kane Brown, One Thing Right,2019
1988,1989,Megan Thee Stallion Featuring DaBaby, Cash Shit,2019
1989,1990,Dan + Shay, Tequila,2019
1990,1991,NLE Choppa, Shotta Flow,2019
1991,1992,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign", Hot Girl Summer,2019
1992,1993,Florida Georgia Line, Talk You Out Of It,2019
1993,1994,Bazzi Featuring Camila Cabello, Beautiful,2019
1994,1995,Chase Rice, Eyes On You,2019
1995,1996,Dan + Shay, All To Myself ,2019
1996,1997,Ariana Grande & Social House, Boyfriend,2019
1997,1998,P!nk, Walk Me Home,2019
1998,1999,Juice WRLD, Robbery,2019
1999,2000,The Weeknd,Blinding Lights,2020
2000,2001,Post Malone,Circles,2020
2001,2002,Roddy Ricch,The Box,2020
2002,2003,Dua Lipa,Don’t Start Now,2020
2003,2004,DaBaby Featuring Roddy Ricch,5  Rockstar,2020
2004,2005,Harry Styles,Adore You,2020
2005,2006,Future Featuring Drake,7  Life Is Good,2020
2006,2007,Maroon 5,Memories,2020
2007,2008,Maren Morris,The Bones,2020
2008,2009,Lewis Capaldi,Someone You Loved,2020
2009,2010,Doja Cat,Say So,2020
2010,2011,Gabby Barrett Featuring Charlie Puth,I Hope,2020
2011,2012,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",13  Whats Poppin,2020
2012,2013,Tones And I,Dance Monkey,2020
2013,2014,Megan Thee Stallion,Savage,2020
2014,2015,Arizona Zervas,Roxanne,2020
2015,2016,Justin Bieber Featuring Quavo,17  Intentions,2020
2016,2017,Billie Eilish,Everything I Wanted,2020
2017,2018,SAINt JHN,Roses,2020
2018,2019,Harry Styles,Watermelon Sugar,2020
2019,2020,Lewis Capaldi,Before You Go,2020
2020,2021,Trevor Daniel,Falling,2020
2021,2022,Dan + Shay & Justin Bieber,"23  10,000 Hours",2020
2022,2023,Cardi B Featuring Megan Thee Stallion,24  WAP,2020
2023,2024,Mustard & Roddy Ricch,Ballin’,2020
2024,2025,blackbear,Hot Girl Bummer,2020
2025,2026,Lil Mosey,Blueberry Faygo,2020
2026,2027,The Weeknd,Heartless,2020
2027,2028,DaBaby,BOP,2020
2028,2029,Selena Gomez,Lose You To Love Me,2020
2029,2030,Lizzo,Good As Hell,2020
2030,2031,Drake,Toosie Slide,2020
2031,2032,Dua Lipa,Break My Heart,2020
2032,2033,Morgan Wallen,Chasin’ You,2020
2033,2034,Jawsh 685 x Jason Derulo,35  Savage Love (Laxed – Siren Beat),2020
2034,2035,Chris Brown Featuring Drake,36  No Guidance,2020
2035,2036,Camila Cabello Featuring DaBaby,37  My Oh My,2020
2036,2037,BTS,Dynamite,2020
2037,2038,Chris Brown & Young Thug,39  Go Crazy,2020
2038,2039,Roddy Ricch Featuring Mustard,40  High Fashion,2020
2039,2040,Drake Featuring Lil Durk,41  Laugh Now Cry Later,2020
2040,2041,Lil Baby,Woah,2020
2041,2042,Powfu Featuring beabadoobee,43  Death Bed,2020
2042,2043,Shawn Mendes & Camila Cabello,44  Senorita,2020
2043,2044,Travis Scott,HIGHEST IN THE ROOM,2020
2044,2045,Billie Eilish,Bad Guy,2020
2045,2046,24kGoldn Featuring iann dior,47  Mood,2020
2046,2047,Lady Gaga & Ariana Grande,48  Rain On Me,2020
2047,2048,Pop Smoke Featuring Lil Baby & DaBaby,49  For The Night,2020
2048,2049,Black Eyed Peas X J Balvin,50  RITMO (Bad Boys For Life),2020
2049,2050,Rod Wave,Heart On Ice,2020
2050,2051,Blake Shelton Duet With Gwen Stefani,52  Nobody But You,2020
2051,2052,SHAED,53  Trampoline,2020
2052,2053,Juice WRLD x Marshmello,54  Come & Go,2020
2053,2054,Lizzo,Truth Hurts,2020
2054,2055,JP Saxe Featuring Julia Michaels,56  If The World Was Ending,2020
2055,2056,Lil Baby & 42 Dugg,57  We Paid,2020
2056,2057,Justin Bieber,Yummy,2020
2057,2058,Old Dominion,One Man Band,2020
2058,2059,Jason Aldean,Got What I Got,2020
2059,2060,Surfaces,Sunday Best,2020
2060,2061,Eminem Featuring Juice WRLD,62  Godzilla,2020
2061,2062,Juice WRLD & YoungBoy Never Broke Again,63  Bandit,2020
2062,2063,StaySolidRocky,64  Party Girl,2020
2063,2064,Maddie & Tae,Die From A Broken Heart,2020
2064,2065,DJ Khaled Featuring Drake,66  Popstar,2020
2065,2066,Mariah Carey,All I Want For Christmas Is You,2020
2066,2067,Lee Brice,One Of Them Girls,2020
2067,2068,Sam Hunt,Hard To Forget,2020
2068,2069,Luke Bryan,70 One Margarita,2020
2069,2070,Lil Nas X,Panini,2020
2070,2071,Young Thug Featuring Gunna,Hot,2020
2071,2072,Carly Pearce & Lee Brice,73  I Hope You’re Happy Now,2020
2072,2073,Lil Baby,Emotionally Scarred,2020
2073,2074,YNW Melly & Juice WRLD,75  Suicidal,2020
2074,2075,Lil Baby,The Bigger Picture,2020
2075,2076,Jonas Brothers,Only Human,2020
2076,2077,Pop Smoke Featuring 50 Cent & Roddy Ricch,78  The Woo,2020
2077,2078,Lil Baby,Sum 2 Prove,2020
2078,2079,Ariana Grande & Justin Bieber,80  Stuck With U,2020
2079,2080,Pop Smoke Featuring Lil Tjay,81  Mood Swings,2020
2080,2081,Halsey,You Should Be Sad,2020
2081,2082,Pop Smoke,Dior,2020
2082,2083,BENEE Featuring Gus Dapperton,84  Supalonely,2020
2083,2084,Luke Combs,Even Though I’m Leaving,2020
2084,2085,"THE SCOTTS, Travis Scott & Kid Cudi",86  The Scotts,2020
2085,2086,Doja Cat & Tyga,87  Juicy,2020
2086,2087,Kane Brown With Swae Lee & Khalid,88  Be Like That,2020
2087,2088,Kane Brown,Homesick,2020
2088,2089,Rod Wave Featuring ATR Son Son,90  Rags2Riches,2020
2089,2090,Miranda Lambert,Bluebird,2020
2090,2091,Juice WRLD,92  Wishing Well,2020
2091,2092,Luke Combs Featuring Eric Church,93  Does To Me,2020
2092,2093,Jhene Aiko,P*$$y Fairy (OTW),2020
2093,2094,surf mesa Featuring Emilee,95  ily,2020
2094,2095,Morgan Wallen,More Than My Hometown,2020
2095,2096,Luke Combs,Lovin’ On You,2020
2096,2097,Moneybagg Yo,Said Sum,2020
2097,2098,H.E.R. Featuring YG,99  Slide,2020
2098,2099,NLE Choppa Featuring Roddy Ricch,100  Walk Em Down,2020
